Creation policy of v1.1 [Simple version] ,,,,
"The important thing is to respect the Constitution of the Constitutional Convention, not to make any essential changes to it, and to focus only on simplifying it. The aim is not to deny the Constitution of the Constitutional Convention, but to strengthen it by simplifying it.",,,,
1. Carefully correct duplicated and redundant expressions to make them simple. Carefully confirm that there are no changes to the intended content or effect from the version approved by the Constitutional Convention.,,,,
"2. We remove language that we believe will have no practical effect if removed, and we are careful to make sure that no one is harmed by this removal.",,,,
3. No new ideas added. v1.1 will focus on simplification.,,,,
4. We will be ignoring Guardrails and TENET in order to focus on submitting v1.1 for GA in January or February.,,,,
https://docs.google.com/document/d/1o9B3JsYAdTF1ycEkRcAWm_i095Ns7CBd_fxJiU6G0iY/edit?tab=t.0#heading=h.4h2z8okq9vgc,,,,
v1.0,v1.1,,Diff & Reason,
"MTEU-S-04 (x - ""should"") maxTxExecutionUnits[steps] should not be increased by more than 500,000,000 (500M) units in any epoch (5 days)","MTEU-S-04 (x - ""should"") maxTxExecutionUnits[steps] should not be increased by more than 500,000,000 (500M) units in any epoch (5 days)",,0.APPENDIX,
"MBEU-S-01 (y) maxBlockExecutionUnits[steps] must not exceed 40,000,000,000 (40Bn) units","MBEU-S-01 (y) maxBlockExecutionUnits[steps] must not exceed 40,000,000,000 (40Bn) units",,0.APPENDIX,
MBEU-S-02 (y) maxBlockExecutionUnits[steps] must not be negative,MBEU-S-02 (y) maxBlockExecutionUnits[steps] must not be negative,,0.APPENDIX,
"MBEU-S-03 (x - ""should"") maxBlockExecutionUnits[steps] should not be changed (increased or decreased) by more than 2,000,000,000 (2Bn) units in any epoch (5 days)","MBEU-S-03 (x - ""should"") maxBlockExecutionUnits[steps] should not be changed (increased or decreased) by more than 2,000,000,000 (2Bn) units in any epoch (5 days)",,0.APPENDIX,
"MBEU-S-04a (x - unquantifiable) The impact of the change to maxBlockExecutionUnits[steps] must be confirmed by detailed benchmarking/simulation and not exceed the requirements of the block diffusion/propagation time budgets, as also impacted by maxBlockExecutionUnits[memory] and maxBlockBodySize. Any increase must also consider previously identified future requirements for the total block size (maxBlockBodySize) measured against the total block diffusion target of 3s with 95% block propagation within 5s. Future Plutus performance improvements may allow the per-block step limit to be increased, but must be balanced against the overall diffusion limits as specified in the previous sentence, and future requirements","MBEU-S-04a (x - unquantifiable) The impact of the change to maxBlockExecutionUnits[steps] must be confirmed by detailed benchmarking/simulation and not exceed the requirements of the block diffusion/propagation time budgets, as also impacted by maxBlockExecutionUnits[memory] and maxBlockBodySize. Any increase must also consider previously identified future requirements for the total block size (maxBlockBodySize) measured against the total block diffusion target of 3s with 95% block propagation within 5s. Future Plutus performance improvements may allow the per-block step limit to be increased, but must be balanced against the overall diffusion limits as specified in the previous sentence, and future requirements",,0.APPENDIX,
MEU-S-01 (~ - no access to existing parameter values) maxBlockExecutionUnits[steps] must not be less than maxTxExecutionUnits[steps],MEU-S-01 (~ - no access to existing parameter values) maxBlockExecutionUnits[steps] must not be less than maxTxExecutionUnits[steps],,0.APPENDIX,
Block Header Size (maxBlockHeaderSize),Block Header Size (maxBlockHeaderSize),,0.APPENDIX,
The size of the block header.,The size of the block header.,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
"MBHS-01 (y) maxBlockHeaderSize must not exceed 5,000 Bytes","MBHS-01 (y) maxBlockHeaderSize must not exceed 5,000 Bytes",,0.APPENDIX,
MBHS-02 (y) maxBlockHeaderSize must not be negative,MBHS-02 (y) maxBlockHeaderSize must not be negative,,0.APPENDIX,
"MBHS-03 (x - ""largest valid header"" is subject to change) maxBlockHeaderSize must be large enough for the largest valid header","MBHS-03 (x - ""largest valid header"" is subject to change) maxBlockHeaderSize must be large enough for the largest valid header",,0.APPENDIX,
"MBHS-04 (x - ""should"") maxBlockHeaderSize should only normally be increased if the protocol changes","MBHS-04 (x - ""should"") maxBlockHeaderSize should only normally be increased if the protocol changes",,0.APPENDIX,
"MBHS-05 (x - ""should"") maxBlockHeaderSize should be within TCP's initial congestion window (3 or 10 MTUs)","MBHS-05 (x - ""should"") maxBlockHeaderSize should be within TCP's initial congestion window (3 or 10 MTUs)",,0.APPENDIX,
2.4. Technical/Security Parameters,2.4. Technical/Security Parameters,,0.APPENDIX,
The overall goals when managing the technical/security parameters are:,The overall goals when managing the technical/security parameters are:,,0.APPENDIX,
Ensure the security of the Cardano Blockchain network in terms of decentralization and protection against adversarial actions,Ensure the security of the Cardano Blockchain network in terms of decentralization and protection against adversarial actions,,0.APPENDIX,
Enable changes to the Plutus language,Enable changes to the Plutus language,,0.APPENDIX,
Triggers for Change,Triggers for Change,,0.APPENDIX,
Changes in the number of active SPOs,Changes in the number of active SPOs,,0.APPENDIX,
Changes to the Plutus language,Changes to the Plutus language,,0.APPENDIX,
Security threats,Security threats,,0.APPENDIX,
Cardano Community requests,Cardano Community requests,,0.APPENDIX,
Counter-indicators,Counter-indicators,,0.APPENDIX,
"Economic concerns, e.g. when changing the number of stake pools","Economic concerns, e.g. when changing the number of stake pools",,0.APPENDIX,
Core Metrics,Core Metrics,,0.APPENDIX,
Number of stake pools,Number of stake pools,,0.APPENDIX,
Level of decentralization,Level of decentralization,,0.APPENDIX,
Changes to Specific Technical/Security Parameters,Changes to Specific Technical/Security Parameters,,0.APPENDIX,
Target Number of Stake Pools (stakePoolTargetNum),Target Number of Stake Pools (stakePoolTargetNum),,0.APPENDIX,
Sets the target number of stake pools,Sets the target number of stake pools,,0.APPENDIX,
The expected number of stake pools when the network is in the equilibrium state,The expected number of stake pools when the network is in the equilibrium state,,0.APPENDIX,
"Primarily a security parameter, ensuring decentralization by stake pool division/replication","Primarily a security parameter, ensuring decentralization by stake pool division/replication",,0.APPENDIX,
Has an economic effect as well as a security effect - economic advice is also required when changing this parameter,Has an economic effect as well as a security effect - economic advice is also required when changing this parameter,,0.APPENDIX,
Large changes in this parameter will trigger mass redelegation events,Large changes in this parameter will trigger mass redelegation events,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
SPTN-01 (y) stakePoolTargetNum must not be lower than 250,SPTN-01 (y) stakePoolTargetNum must not be lower than 250,,0.APPENDIX,
"SPTN-02 (y) stakePoolTargetNum must not exceed 2,000","SPTN-02 (y) stakePoolTargetNum must not exceed 2,000",,0.APPENDIX,
SPTN-03 (y) stakePoolTargetNum must not be negative,SPTN-03 (y) stakePoolTargetNum must not be negative,,0.APPENDIX,
SPTN-04 (y) stakePoolTargetNum must not be zero,SPTN-04 (y) stakePoolTargetNum must not be zero,,0.APPENDIX,
Pledge Influence Factor (poolPledgeInfluence),Pledge Influence Factor (poolPledgeInfluence),,0.APPENDIX,
Enables the pledge protection mechanism,Enables the pledge protection mechanism,,0.APPENDIX,
Provides protection against Sybil attack,Provides protection against Sybil attack,,0.APPENDIX,
Higher values reward pools that have more pledge and penalize pools that have less pledge,Higher values reward pools that have more pledge and penalize pools that have less pledge,,0.APPENDIX,
Has an economic effect as well as technical effect - economic advice is also required,Has an economic effect as well as technical effect - economic advice is also required,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
PPI-01 (y) poolPledgeInfluence must not be lower than 0.1,PPI-01 (y) poolPledgeInfluence must not be lower than 0.1,,0.APPENDIX,
PPI-02 (y) poolPledgeInfluence must not exceed 1.0,PPI-02 (y) poolPledgeInfluence must not exceed 1.0,,0.APPENDIX,
PPI-03 (y) poolPledgeInfluence must not be negative,PPI-03 (y) poolPledgeInfluence must not be negative,,0.APPENDIX,
"PPI-04 (x - ""should"") poolPledgeInfluence should not vary by more than +/- 10% in any 18-epoch period (approximately 3 months)","PPI-04 (x - ""should"") poolPledgeInfluence should not vary by more than +/- 10% in any 18-epoch period (approximately 3 months)",,0.APPENDIX,
Pool Retirement Window (poolRetireMaxEpoch),Pool Retirement Window (poolRetireMaxEpoch),,0.APPENDIX,
Defines the maximum number of epochs notice that a pool can give when planning to retire,Defines the maximum number of epochs notice that a pool can give when planning to retire,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
PRME-01 (y) poolRetireMaxEpoch must not be negative,PRME-01 (y) poolRetireMaxEpoch must not be negative,,0.APPENDIX,
"PRME-02 (x - ""should"") poolRetireMaxEpoch should not be lower than 1","PRME-02 (x - ""should"") poolRetireMaxEpoch should not be lower than 1",,0.APPENDIX,
Collateral Percentage (collateralPercentage),Collateral Percentage (collateralPercentage),,0.APPENDIX,
Defines how much collateral must be provided when executing a Plutus script as a percentage of the normal execution cost,Defines how much collateral must be provided when executing a Plutus script as a percentage of the normal execution cost,,0.APPENDIX,
Collateral is additional to fee payments,Collateral is additional to fee payments,,0.APPENDIX,
"If a script fails to execute, then the collateral is lost","If a script fails to execute, then the collateral is lost",,0.APPENDIX,
The collateral is never lost if a script executes successfully,The collateral is never lost if a script executes successfully,,0.APPENDIX,
Provides security against low-cost attacks by making it more expensive rather than less expensive to execute failed scripts,Provides security against low-cost attacks by making it more expensive rather than less expensive to execute failed scripts,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
CP-01 (y) collateralPercentage must not be lower than 100,CP-01 (y) collateralPercentage must not be lower than 100,,0.APPENDIX,
CP-02 (y) collateralPercentage must not exceed 200,CP-02 (y) collateralPercentage must not exceed 200,,0.APPENDIX,
CP-03 (y) collateralPercentage must not be negative,CP-03 (y) collateralPercentage must not be negative,,0.APPENDIX,
CP-04 (y) collateralPercentage must not be zero,CP-04 (y) collateralPercentage must not be zero,,0.APPENDIX,
Maximum number of collateral inputs (maxCollateralInputs),Maximum number of collateral inputs (maxCollateralInputs),,0.APPENDIX,
Defines the maximum number of inputs that can be used for collateral when executing a Plutus script,Defines the maximum number of inputs that can be used for collateral when executing a Plutus script,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
MCI-01 (y) maxCollateralInputs must not be lower than 1,MCI-01 (y) maxCollateralInputs must not be lower than 1,,0.APPENDIX,
Maximum Value Size (maxValueSize),Maximum Value Size (maxValueSize),,0.APPENDIX,
The limit on the serialized size of the Value in each output.,The limit on the serialized size of the Value in each output.,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
"MVS-01 (y) maxValueSize must not exceed 12,288 Bytes (12KB)","MVS-01 (y) maxValueSize must not exceed 12,288 Bytes (12KB)",,0.APPENDIX,
MVS-02 (y) maxValueSize must not be negative,MVS-02 (y) maxValueSize must not be negative,,0.APPENDIX,
MVS-03 (~ - no access to existing parameter values) maxValueSize must be less than maxTxSize,MVS-03 (~ - no access to existing parameter values) maxValueSize must be less than maxTxSize,,0.APPENDIX,
MVS-04 (~ - no access to existing parameter values) maxValueSize must not be reduced,MVS-04 (~ - no access to existing parameter values) maxValueSize must not be reduced,,0.APPENDIX,
"MVS-05 (x - ""sensible output"" is subject to interpretation) maxValueSize must be large enough to allow sensible outputs (e.g. any existing on-chain output or anticipated outputs that could be produced by new ledger rules)","MVS-05 (x - ""sensible output"" is subject to interpretation) maxValueSize must be large enough to allow sensible outputs (e.g. any existing on-chain output or anticipated outputs that could be produced by new ledger rules)",,0.APPENDIX,
Plutus Cost Models (costModels),Plutus Cost Models (costModels),,0.APPENDIX,
Define the base costs for each Plutus primitive in terms of CPU and memory unit,Define the base costs for each Plutus primitive in terms of CPU and memory unit,,0.APPENDIX,
A different cost model is required for each Plutus version. Each cost model comprises many distinct cost model values. Cost models are defined for each Plutus language version. A new language version may introduce additional cost model values or remove existing cost model values.,A different cost model is required for each Plutus version. Each cost model comprises many distinct cost model values. Cost models are defined for each Plutus language version. A new language version may introduce additional cost model values or remove existing cost model values.,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
PCM-01 (x - unquantifiable) Cost model values must be set by benchmarking on a reference architecture,PCM-01 (x - unquantifiable) Cost model values must be set by benchmarking on a reference architecture,,0.APPENDIX,
PCM-02 (x - primitives and language versions aren't introduced in transactions) The cost model must be updated if new primitives are introduced or a new Plutus language version is added,PCM-02 (x - primitives and language versions aren't introduced in transactions) The cost model must be updated if new primitives are introduced or a new Plutus language version is added,,0.APPENDIX,
PCM-03a (~ - no access to Plutus cost model parameters) Cost model values should not normally be negative. Negative values must be justified against the underlying cost model for the associated primitives,PCM-03a (~ - no access to Plutus cost model parameters) Cost model values should not normally be negative. Negative values must be justified against the underlying cost model for the associated primitives,,0.APPENDIX,
PCM-04 (~ - no access to Plutus cost model parameters) A cost model must be supplied for each Plutus language version that the protocol supports,PCM-04 (~ - no access to Plutus cost model parameters) A cost model must be supplied for each Plutus language version that the protocol supports,,0.APPENDIX,
2.5. Governance Parameters,2.5. Governance Parameters,,0.APPENDIX,
The overall goals when managing the governance parameters are to:,The overall goals when managing the governance parameters are to:,,0.APPENDIX,
Ensure governance stability,Ensure governance stability,,0.APPENDIX,
Maintain a representative form of governance,Maintain a representative form of governance,,0.APPENDIX,
Triggers for Change,Triggers for Change,,0.APPENDIX,
Changes to governance parameters may be triggered by:,Changes to governance parameters may be triggered by:,,0.APPENDIX,
Cardano Community requests,Cardano Community requests,,0.APPENDIX,
Regulatory requirements,Regulatory requirements,,0.APPENDIX,
Unexpected or unwanted governance outcomes,Unexpected or unwanted governance outcomes,,0.APPENDIX,
Entering a state of no confidence,Entering a state of no confidence,,0.APPENDIX,
Counter-indicators,Counter-indicators,,0.APPENDIX,
Changes may need to be reversed and/or should not be enacted in the event of:,Changes may need to be reversed and/or should not be enacted in the event of:,,0.APPENDIX,
Unexpected effects on governance,Unexpected effects on governance,,0.APPENDIX,
Excessive Layer 1 load due to on-chain voting or excessive numbers of governance actions,Excessive Layer 1 load due to on-chain voting or excessive numbers of governance actions,,0.APPENDIX,
Core Metrics,Core Metrics,,0.APPENDIX,
All decisions on parameter changes should be informed by:,All decisions on parameter changes should be informed by:,,0.APPENDIX,
Governance participation levels,Governance participation levels,,0.APPENDIX,
Governance behaviors and patterns,Governance behaviors and patterns,,0.APPENDIX,
Regulatory considerations,Regulatory considerations,,0.APPENDIX,
Confidence in the governance system,Confidence in the governance system,,0.APPENDIX,
The effectiveness of the governance system in managing necessary change,The effectiveness of the governance system in managing necessary change,,0.APPENDIX,
Changes to Specific Governance Parameters,Changes to Specific Governance Parameters,,0.APPENDIX,
Deposit for Governance Actions (govDeposit),Deposit for Governance Actions (govDeposit),,0.APPENDIX,
The deposit that is charged when submitting a governance action.,The deposit that is charged when submitting a governance action.,,0.APPENDIX,
Helps to limit the number of actions that are submitted,Helps to limit the number of actions that are submitted,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
GD-01 (y) govDeposit must not be negative,GD-01 (y) govDeposit must not be negative,,0.APPENDIX,
"GD-02 (y) govDeposit must not be lower than 1,000,000 (1 ada)","GD-02 (y) govDeposit must not be lower than 1,000,000 (1 ada)",,0.APPENDIX,
"GD-03a (y) govDeposit must not exceed 10,000,000,000,000 (10 million ada)","GD-03a (y) govDeposit must not exceed 10,000,000,000,000 (10 million ada)",,0.APPENDIX,
"GD-04 (x - ""should"") govDeposit should be adjusted in line with fiat changes","GD-04 (x - ""should"") govDeposit should be adjusted in line with fiat changes",,0.APPENDIX,
Deposit for DReps (dRepDeposit),Deposit for DReps (dRepDeposit),,0.APPENDIX,
The deposit that is charged when registering a DRep.,The deposit that is charged when registering a DRep.,,0.APPENDIX,
Helps to limit the number of active DReps,Helps to limit the number of active DReps,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
DRD-01 (y) dRepDeposit must not be negative,DRD-01 (y) dRepDeposit must not be negative,,0.APPENDIX,
"DRD-02 (y) dRepDeposit must not be lower than 1,000,000 (1 ada)","DRD-02 (y) dRepDeposit must not be lower than 1,000,000 (1 ada)",,0.APPENDIX,
"DRD-03 (y) dRepDeposit must not exceed 100,000,000,000 (100,000 ada)","DRD-03 (y) dRepDeposit must not exceed 100,000,000,000 (100,000 ada)",,0.APPENDIX,
"DRD-04 (x - ""should"") dRepDeposit should be adjusted in line with fiat changes","DRD-04 (x - ""should"") dRepDeposit should be adjusted in line with fiat changes",,0.APPENDIX,
DRep Activity Period (dRepActivity),DRep Activity Period (dRepActivity),,0.APPENDIX,
"The period (as a whole number of epochs) after which a DRep is considered to be inactive for vote calculation purposes, if they do not vote on any proposal.","The period (as a whole number of epochs) after which a DRep is considered to be inactive for vote calculation purposes, if they do not vote on any proposal.",,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
DRA-01 (y) dRepActivity must not be lower than 13 epochs (2 months),DRA-01 (y) dRepActivity must not be lower than 13 epochs (2 months),,0.APPENDIX,
DRA-02 (y) dRepActivity must not exceed 37 epochs (6 months),DRA-02 (y) dRepActivity must not exceed 37 epochs (6 months),,0.APPENDIX,
DRA-03 (y) dRepActivity must not be negative,DRA-03 (y) dRepActivity must not be negative,,0.APPENDIX,
DRA-04 (~ - no access to existing parameter values) dRepActivity must be greater than govActionLifetime,DRA-04 (~ - no access to existing parameter values) dRepActivity must be greater than govActionLifetime,,0.APPENDIX,
"DRA-05 (x - ""should"") dRepActivity should be calculated in human terms (2 months etc)","DRA-05 (x - ""should"") dRepActivity should be calculated in human terms (2 months etc)",,0.APPENDIX,
"DRep and SPO Governance Action Thresholds (dRepVotingThresholds[...],poolVotingThresholds[...])","DRep and SPO Governance Action Thresholds (dRepVotingThresholds[...],poolVotingThresholds[...])",,0.APPENDIX,
Thresholds on the active voting stake that is required to ratify a specific type of governance action by either DReps or SPOs.,Thresholds on the active voting stake that is required to ratify a specific type of governance action by either DReps or SPOs.,,0.APPENDIX,
Ensures legitimacy of the action,Ensures legitimacy of the action,,0.APPENDIX,
The threshold parameters are listed below:,The threshold parameters are listed below:,,0.APPENDIX,
dRepVotingThresholds:,dRepVotingThresholds:,,0.APPENDIX,
dvtCommitteeNoConfidence,dvtCommitteeNoConfidence,,0.APPENDIX,
dvtCommitteeNormal,dvtCommitteeNormal,,0.APPENDIX,
dvtHardForkInitiation,dvtHardForkInitiation,,0.APPENDIX,
dvtMotionNoConfidence,dvtMotionNoConfidence,,0.APPENDIX,
dvtPPEconomicGroup,dvtPPEconomicGroup,,0.APPENDIX,
dvtPPGovGroup,dvtPPGovGroup,,0.APPENDIX,
dvtPPNetworkGroup,dvtPPNetworkGroup,,0.APPENDIX,
dvtPPTechnicalGroup,dvtPPTechnicalGroup,,0.APPENDIX,
dvtTreasuryWithdrawal,dvtTreasuryWithdrawal,,0.APPENDIX,
dvtUpdateToConstitution,dvtUpdateToConstitution,,0.APPENDIX,
poolVotingThresholds:,poolVotingThresholds:,,0.APPENDIX,
pvtCommitteeNoConfidence,pvtCommitteeNoConfidence,,0.APPENDIX,
pvtCommitteeNormal,pvtCommitteeNormal,,0.APPENDIX,
pvtHardForkInitiation,pvtHardForkInitiation,,0.APPENDIX,
pvtMotionNoConfidence,pvtMotionNoConfidence,,0.APPENDIX,
pvtPPSecurityGroup,pvtPPSecurityGroup,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
VT-GEN-01 (y) All thresholds must be greater than 50% and less than or equal to 100%,VT-GEN-01 (y) All thresholds must be greater than 50% and less than or equal to 100%,,0.APPENDIX,
"VT-GEN-02a (y) Economic, network and technical/security parameter thresholds must be in the range 51%-75%","VT-GEN-02a (y) Economic, network and technical/security parameter thresholds must be in the range 51%-75%",,0.APPENDIX,
VT-GEN-03 (y) Governance parameter thresholds must be in the range 75%-90%,VT-GEN-03 (y) Governance parameter thresholds must be in the range 75%-90%,,0.APPENDIX,
VT-HF-01 (y) Hard fork action thresholds must be in the range 51%-80%,VT-HF-01 (y) Hard fork action thresholds must be in the range 51%-80%,,0.APPENDIX,
VT-CON-01 (y) New Constitution or Guardrails Script action thresholds must be in the range 65%-90%,VT-CON-01 (y) New Constitution or Guardrails Script action thresholds must be in the range 65%-90%,,0.APPENDIX,
VT-CC-01 (y) Update Constitutional Committee action thresholds must be in the range 51%-90%,VT-CC-01 (y) Update Constitutional Committee action thresholds must be in the range 51%-90%,,0.APPENDIX,
VT-NC-01 (y) No confidence action thresholds must be in the range 51%-75%,VT-NC-01 (y) No confidence action thresholds must be in the range 51%-75%,,0.APPENDIX,
Governance Action Lifetime (govActionLifetime),Governance Action Lifetime (govActionLifetime),,0.APPENDIX,
The period after which a governance action will expire if it is not enacted - as a whole number of epochs,The period after which a governance action will expire if it is not enacted - as a whole number of epochs,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
GAL-01 (y) govActionLifetime must not be lower than 1 epoch (5 days),GAL-01 (y) govActionLifetime must not be lower than 1 epoch (5 days),,0.APPENDIX,
"GAL-03 (x - ""should"") govActionLifetime should not be lower than 2 epochs (10 days)","GAL-03 (x - ""should"") govActionLifetime should not be lower than 2 epochs (10 days)",,0.APPENDIX,
GAL-02 (y) govActionLifetime must not exceed 15 epochs (75 days),GAL-02 (y) govActionLifetime must not exceed 15 epochs (75 days),,0.APPENDIX,
"GAL-04 (x - ""should"") govActionLifetime should be calibrated in human terms (eg 30 days, two weeks), to allow sufficient time for voting etc. to take place","GAL-04 (x - ""should"") govActionLifetime should be calibrated in human terms (eg 30 days, two weeks), to allow sufficient time for voting etc. to take place",,0.APPENDIX,
GAL-05 (~ - no access to existing parameter values) govActionLifetime must be less than dRepActivity,GAL-05 (~ - no access to existing parameter values) govActionLifetime must be less than dRepActivity,,0.APPENDIX,
Maximum Constitutional Committee Term (committeeMaxTermLength),Maximum Constitutional Committee Term (committeeMaxTermLength),,0.APPENDIX,
The limit on the maximum term length that a committee member may serve,The limit on the maximum term length that a committee member may serve,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
CMTL-01a (y) committeeMaxTermLength must not be zero,CMTL-01a (y) committeeMaxTermLength must not be zero,,0.APPENDIX,
CMTL-02a (y) committeeMaxTermLength must not be negative,CMTL-02a (y) committeeMaxTermLength must not be negative,,0.APPENDIX,
"CMTL-03a (y) committeeMaxTermLength must not be lower than 18 epochs (90 days, or approximately 3 months)","CMTL-03a (y) committeeMaxTermLength must not be lower than 18 epochs (90 days, or approximately 3 months)",,0.APPENDIX,
CMTL-04a (y) committeeMaxTermLength must not exceed 293 epochs (approximately 4 years),CMTL-04a (y) committeeMaxTermLength must not exceed 293 epochs (approximately 4 years),,0.APPENDIX,
"CMTL-05a (x - ""should"") committeeMaxTermLength should not exceed 220 epochs (approximately 3 years)","CMTL-05a (x - ""should"") committeeMaxTermLength should not exceed 220 epochs (approximately 3 years)",,0.APPENDIX,
The minimum size of the Constitutional Committee (committeeMinSize),The minimum size of the Constitutional Committee (committeeMinSize),,0.APPENDIX,
The least number of members that can be included in a Constitutional Committee following a governance action to change the Constitutional Committee.,The least number of members that can be included in a Constitutional Committee following a governance action to change the Constitutional Committee.,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
CMS-01 (y) committeeMinSize must not be negative,CMS-01 (y) committeeMinSize must not be negative,,0.APPENDIX,
CMS-02 (y) committeeMinSize must not be lower than 3,CMS-02 (y) committeeMinSize must not be lower than 3,,0.APPENDIX,
CMS-03 (y) committeeMinSize must not exceed 10,CMS-03 (y) committeeMinSize must not exceed 10,,0.APPENDIX,
2.6. Monitoring and Reversion of Parameter Changes,2.6. Monitoring and Reversion of Parameter Changes,,0.APPENDIX,
All network parameter changes must be monitored carefully for no less than 2 epochs (10 days),All network parameter changes must be monitored carefully for no less than 2 epochs (10 days),,0.APPENDIX,
Changes must be reverted as soon as possible if block propagation delays exceed 4.5s for more than 5% of blocks over any 6 hour rolling window,Changes must be reverted as soon as possible if block propagation delays exceed 4.5s for more than 5% of blocks over any 6 hour rolling window,,0.APPENDIX,
All other parameter changes should be monitored,All other parameter changes should be monitored,,0.APPENDIX,
"The reversion plan should be implemented if the overall effect on performance, security, functionality or long-term sustainability is unacceptable.","The reversion plan should be implemented if the overall effect on performance, security, functionality or long-term sustainability is unacceptable.",,0.APPENDIX,
A specific reversion/recovery plan must be produced for each parameter change. This plan must include:,A specific reversion/recovery plan must be produced for each parameter change. This plan must include:,,0.APPENDIX,
Which parameters need to change and in which ways in order to return to the previous state (or a similar state),Which parameters need to change and in which ways in order to return to the previous state (or a similar state),,0.APPENDIX,
How to recover the network in the event of disastrous failure,How to recover the network in the event of disastrous failure,,0.APPENDIX,
This plan should be followed if problems are observed following the parameter change. Note that not all changes can be reverted. Additional care must be taken when making changes to these parameters.,This plan should be followed if problems are observed following the parameter change. Note that not all changes can be reverted. Additional care must be taken when making changes to these parameters.,,0.APPENDIX,
2.7. Non-Updatable Protocol Parameters,2.7. Non-Updatable Protocol Parameters,,0.APPENDIX,
Some fundamental protocol parameters cannot be changed by the Protocol Parameter Update governance action. These parameters can only be changed in a new Genesis file as part of a hard fork. It is not necessary to provide specific guardrails on updating these parameters.,Some fundamental protocol parameters cannot be changed by the Protocol Parameter Update governance action. These parameters can only be changed in a new Genesis file as part of a hard fork. It is not necessary to provide specific guardrails on updating these parameters.,,0.APPENDIX,
3. Guardrails and Guidelines on Treasury Withdrawal Actions,3. Guardrails and Guidelines on Treasury Withdrawal Actions,,0.APPENDIX,
Treasury withdrawal actions specify the destination and amount of a number of withdrawals from the Cardano treasury.,Treasury withdrawal actions specify the destination and amount of a number of withdrawals from the Cardano treasury.,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
TREASURY-01a (x) A net change limit for the Cardano treasury's balance per period of time must be agreed by the DReps via an on-chain governance action with a threshold of greater than 50% of the active voting stake,TREASURY-01a (x) A net change limit for the Cardano treasury's balance per period of time must be agreed by the DReps via an on-chain governance action with a threshold of greater than 50% of the active voting stake,,0.APPENDIX,
TREASURY-02a (x) Withdrawals from the Cardano Blockchain treasury made pursuant to an approved Cardano Blockchain ecosystem budget must not exceed the net change limit for the Cardano Treasury's balance per period of time,TREASURY-02a (x) Withdrawals from the Cardano Blockchain treasury made pursuant to an approved Cardano Blockchain ecosystem budget must not exceed the net change limit for the Cardano Treasury's balance per period of time,,0.APPENDIX,
TREASURY-03a (x) Withdrawals from the Cardano Blockchain treasury must be denominated in ada,TREASURY-03a (x) Withdrawals from the Cardano Blockchain treasury must be denominated in ada,,0.APPENDIX,
TREASURY-04a (x) Withdrawals from the Cardano Blockchain treasury must not be ratified until there is a Cardano Community approved Cardano Blockchain ecosystem budget then in effect pursuant to a previous on-chain governance action agreed by the DReps with a threshold of greater than 50% of the active voting stake,TREASURY-04a (x) Withdrawals from the Cardano Blockchain treasury must not be ratified until there is a Cardano Community approved Cardano Blockchain ecosystem budget then in effect pursuant to a previous on-chain governance action agreed by the DReps with a threshold of greater than 50% of the active voting stake,,0.APPENDIX,
4. Guardrails and Guidelines on Hard Fork Initiation Actions,4. Guardrails and Guidelines on Hard Fork Initiation Actions,,0.APPENDIX,
The hard fork initiation action requires both a new major and a new minor protocol version to be specified.,The hard fork initiation action requires both a new major and a new minor protocol version to be specified.,,0.APPENDIX,
As positive integers,As positive integers,,0.APPENDIX,
"As the result of a hard fork, new updatable protocol parameters may be introduced. Guardrails may be defined for these parameters, which will take effect following the hard fork. Existing updatable protocol parameters may also be deprecated by the hard fork, in which case the guardrails become obsolete for all future changes.","As the result of a hard fork, new updatable protocol parameters may be introduced. Guardrails may be defined for these parameters, which will take effect following the hard fork. Existing updatable protocol parameters may also be deprecated by the hard fork, in which case the guardrails become obsolete for all future changes.",,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
